Fecha Bonos de la Serie A1(P) Bonos de la Serie A2(P) Bonos de la Serie B(P) Bonos de la Serie C(P)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 14.823,28 114.823,28 100.000,00 25.251,28 125.251,28 100.000,00 30.120,05 130.120,05
16 abr 2015 0,00 0,00 0,00 960,66 128,31 1.088,97 1.799,86 271,84 2.071,70 1.799,99 324,26 2.124,25
16 jul 2015 0,00 0,00 0,00 931,92 124,17 1.056,09 1.746,01 263,06 2.009,07 1.746,14 313,79 2.059,93
16 oct 2015 0,00 0,00 0,00 903,78 120,07 1.023,85 1.693,29 254,38 1.947,67 1.693,41 303,43 1.996,84
18 ene 2016 0,00 0,00 0,00 869,73 117,27 987,00 1.629,50 248,44 1.877,94 1.629,61 296,35 1.925,96
18 abr 2016 0,00 0,00 0,00 832,54 108,48 941,02 1.559,82 229,83 1.789,65 1.559,94 274,14 1.834,08
18 jul 2016 0,00 0,00 0,00 800,92 103,65 904,57 1.500,57 219,60 1.720,17 1.500,68 261,94 1.762,62
17 oct 2016 0,00 0,00 0,00 777,17 99,01 876,18 1.456,08 209,76 1.665,84 1.456,18 250,21 1.706,39
16 ene 2017 0,00 0,00 0,00 748,10 94,50 842,60 1.401,62 200,21 1.601,83 1.401,72 238,82 1.640,54
17 abr 2017 0,00 0,00 0,00 712,48 90,16 802,64 1.334,88 191,02 1.525,90 1.334,97 227,86 1.562,83
17 jul 2017 0,00 0,00 0,00 690,52 86,03 776,55 1.293,74 182,27 1.476,01 1.293,83 217,42 1.511,25
16 oct 2017 0,00 0,00 0,00 669,43 82,03 751,46 1.254,23 173,78 1.428,01 1.254,32 207,30 1.461,62
16 ene 2018 0,00 0,00 0,00 643,54 79,01 722,55 1.205,71 167,38 1.373,09 1.205,80 199,66 1.405,46
16 abr 2018 0,00 0,00 0,00 612,33 73,60 685,93 1.147,24 155,92 1.303,16 1.147,32 185,99 1.333,31
16 jul 2018 0,00 0,00 0,00 588,88 70,86 659,74 1.103,31 150,13 1.253,44 1.103,39 179,08 1.282,47
16 oct 2018 0,00 0,00 0,00 556,43 68,19 624,62 1.042,51 144,47 1.186,98 1.042,58 172,33 1.214,91
16 ene 2019 0,00 0,00 0,00 522,93 64,93 587,86 979,75 137,56 1.117,31 979,82 164,08 1.143,90
16 abr 2019 0,00 0,00 0,00 488,55 60,52 549,07 915,33 128,21 1.043,54 915,40 152,94 1.068,34
16 jul 2019 0,00 0,00 0,00 10.063,83 58,36 10.122,19 18.855,28 123,64 18.978,92 18.856,63 147,48 19.004,11
