Fondo,Fecha
Constitución,Emitido,Saldo Bonos
31 de mayo de 2009
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TDA - F.T.A.*,5-abr-04,Máximo 3.000.000.000€,-
AUTO ABS 2009-1,17-abr-09,1.180.000.000€,1.180.000.000€
BANCO FINANTIA SOFINLOC Nº 1 - F.T.A.*,1-jul-04,Máximo 150,000,000€,-
BANCO FINANTIA SOFINLOC TDA Nº 2 - F.T.A.*,11-mar-05,Máximo 500.000.000€,-
BANCO FINANTIA SOFINLOC TDA Nº 3 - F.T.A.*,30-mar-07,Máximo 600.000.000€,-
SOFINLOC ESPAÑA TDA Nº 1, F.T.A.*,3-feb-09,Máximo 234.000.000 €,
CAP-TDA 1 - F.T.A.,25-jun-03,300.000.000€,300.000.000,00€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA
MORATORIA NUCLEAR*,25-abr-96,4.297.236.546€,-
CAJA SAN FERNANDO CDO I - F.T.A.*,17-feb-05,$167.250.000,-
,,116.400.000€,-
FONDO DE TITULIZACION DE ACTIVOS NaOH*,19-ene-07,Máximo 300.000.000€,-
MORTGAGE FINANCE SPAIN - F.T.A.*,15-dic-06,Máximo 10.000.000.000€,-
TDA FS1 - F.T.A.*,18-dic-07,Máximo 450.000.000€,
* Fondos de Titulización de Activos privados,,,
