Fondo,Fecha Constitución,Emitido,Saldo Bonos
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,891.319.620€
CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,750.000.000€
MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.838.103.138€
MADRID RMBS II - F.T.A.,12-dic-06,1.800.000.000€,1.669.314.317€
MADRID RMBS III - F.T.A.,11-jul-07,3.000.000.000€,3.000.000.000€
TDA PASTOR CONSUMO 1, FTA,26-abr-07,300.000.000€,300.000.000€
FTPYME TDA 3 - F.T.A,14-feb-02,225.055.000€,29.546.742€
FTPYME TDA 4 - F.T.A,10-oct-03,250.000.000€,72.222.769€
FTPYME TDA 5 - F.T.A,29-dic-04,200.000.000€,73.207.485€
FTPYME TDA 6 - F.T.A,24-nov-05,150.000.000€,92.343.206€
FTPYME TDA SABADELL 1 - F.T.A,3-jun-02,600.000.000€,133.843.691€
FTPYME TDA SABADELL 2 - F.T.A,12-nov-03,500.000.000€,255.216.473€
FTPYME TDA CAM 1 - F.T.A,17-jun-02,600.000.000€,127.200.029€
FTPYME TDA CAM 2 - F.T.A,17-nov-04,750.000.000€,350.238.910€
FTPYME TDA CAM 4 - F.T.A,13-dic-06,1.529.300.000€,1.265.034.193€
CIBELES III FTPYME - F.T.A,18-dic-03,500.000.000€,294.935.015€
FTPYME TDA BANCA MARCH - F.T.A,25-oct-04,200.000.000€,81.074.685€
CM BANCAJA 1 - F.T.A,28-sep-05,556.200.000€,322.916.745€
EMPRESAS HIPOTECARIO TDA CAM 3, F.T.A.,7-jul-06,750.000.000€,634.643.430€
EMPRESAS HIPOTECARIO TDA CAM 5, F.T.A.,17-oct-07,1.430.800.000€,1.430.800.000€
CAIXA PENEDES PYMES 1, F.T.A.,22-jun-07,790.000.000€,763.230.565€
CÉDULAS TDA 1, F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2, F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 3, F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 4, F.T.A.,10-jun-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 5, F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 6, F.T.A.,18-may-05,3.000.000.000€,3.000.000.000€
CÉDULAS TDA 7, F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000€
PROGRAMA CEDULAS TDA, FTA,2-mar-06,Máximo 30.000.000.000€,9.810.000.000€
TDA AUTO ABS 2002, F.T.A.,8-jul-02,950.000.000€,-
GLOBALDRIVE (SPAIN) 2002-1 TDA, F.T.A.,3-dic-02,488.000.000€,-
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TdA, F.T.A.,5-abr-04,Máximo 3.000.000.000,-
GLOBALDRIVE SERIES 3 (SPAIN) TDA, F.T.A.,10-may-05,499.999.948€,-
BANCO FINANTIA SOFINLOC Nº 1, F.T.A.,1-jul-04,Máximo 150,000,000€,-
BANCO FINANTIA SOFINLOC TDA Nº 2, F.T.A.,11-mar-05,Máximo 500.000.000€,-
BANCO FINANTIA SOFINLOC TDA Nº 3, F.T.A.,30-mar-07,Máximo 600.000.000€,-
CAP-TDA 1, F.T.A.,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA MORATORIA,25-abr-96,4.297.236.546€,-
CAJA SAN FERNANDO CDO I, F.T.A.,17-feb-05,$167.250.000,-
,,116.400.000€,-
FONDO DE TITULIZACION DE ACTIVOS NaOH,19-ene-07,Máximo 300.000.000€,-
MORTGAGE FINANCE SPAIN, F.T.A.,15-dic-06,Máximo 10.000.000.000€,-
