Fondo,Fecha Constitución,Emitido,Saldo Bonos
TDA CAM 3 - F.T.A.,16-ene-04,1.200.000.000€,571.266.109€
TDA CAM 4 - F.T.A.,9-mar-05,2.000.000.000€,1.194.592.893€
TDA CAM 5 - F.T.A.,5-oct-05,2.000.000.000€,1.442.787.198€
TDA CAM 6 - F.T.A.,29-mar-06,1.300.000.000€,1.023.360.098€
TDA CAM 7 - F.T.A.,13-oct-06,1.750.000.000€,1.500.779.355€
TDA CAM 8 - F.T.A.,7-mar-07,1.712.800.000€,1.520.837.566€
TDA CAM 9 - F.T.A.,3-jul-07,1.515.000.000€,1.427.005.406€
TDA CAM 10 - F.T.A.,5-dic-07,1.423.500.000€,1.385.762.968€
TDA IBERCAJA 1 - F.T.A.,8-oct-03,600.000.000€,308.383.957€
TDA IBERCAJA 2 - F.T.A.,13-oct-05,904.500.000€,652.490.014€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,773.470.304€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,1.157.811.589€
TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,1.080.237.359€
TDA IBERCAJA 6 - F.T.A.,20-jun-08,1.521.000.000€,1.521.000.000€
TDA CAJAMAR 2 - F.T.A.,18-may-05,1.000.000.000€,622.438.940€
TDA TARRAGONA 1, F.T.A.,30-nov-07,397.400.000€,382.585.288€
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,845.003.795€
CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,711.872.809€
TDA UNICAJA 1 - F.T.A.,9-may-08,419.600.000€,419.600.000€
MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.725.420.802€
MADRID RMBS II - F.T.A.,12-dic-06,1.800.000.000€,1.553.904.655€
MADRID RMBS III - F.T.A.,11-jul-07,3.000.000.000€,2.852.057.320€
MADRID RMBS IV - F.T.A.,19-dic-07,2.400.000.000€,2.357.265.598€
TDA PASTOR CONSUMO 1 - F.T.A.,26-abr-07,300.000.000€,300.000.000€
TDA CCM CONSUMO 1 - F.T.A.,28-may-08,375.000.000€,375.000.000€
FTPYME TDA 4 - F.T.A.,10-oct-03,250.000.000€,59.599.965€
FTPYME TDA 5 - F.T.A.,29-dic-04,200.000.000€,61.549.449€
FTPYME TDA 6 - F.T.A.,24-nov-05,150.000.000€,75.289.175€
FTPYME TDA 7 - F.T.A.,21-dic-07,290.400.000€,271.804.749€
FTPYME TDA SABADELL 1 - F.T.A.,3-jun-02,600.000.000€,95.399.415€
FTPYME TDA SABADELL 2 - F.T.A.,12-nov-03,500.000.000€,215.536.598€
FTPYME TDA CAM 1 - F.T.A.,17-jun-02,600.000.000€,90.939.432€
FTPYME TDA CAM 2 - F.T.A.,17-nov-04,750.000.000€,303.740.200€
FTPYME TDA CAM 4 - F.T.A.,13-dic-06,1.529.300.000€,1.047.582.469€
CIBELES III FTPYME - F.T.A.,18-dic-03,500.000.000€,208.582.396€
FTPYME TDA BANCA MARCH - F.T.A.,25-oct-04,200.000.000€,69.293.236€
CM BANCAJA 1 - F.T.A.,28-sep-05,556.200.000€,282.120.425€
EMPRESAS HIPOTECARIO TDA CAM 3 - F.T.A.,7-jul-06,750.000.000€,574.072.720€
EMPRESAS HIPOTECARIO TDA CAM 5 - F.T.A.,17-oct-07,1.430.800.000€,1.350.395.560€
EMPRESAS TDA CAM 6 - F.T.A.,26-mar-08,1.000.000.000€,1.000.000.000€
CAIXA PENEDES PYMES 1 - F.T.A.,22-jun-07,790.000.000€,669.626.804€
TDA EMPRESAS PASTOR 5 - F.T.A.,17-dic-07,568.700.000€,524.160.898€
MADRID EMPRESAS I - F.T.A.,22-dic-07,780.000.000€,705.895.079€
CÉDULAS TDA 1 - F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2 - F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 3 - F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 4 - F.T.A.,10-jun-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 5 - F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 6 - F.T.A.,18-may-05,3.000.000.000€,3.000.000.000€
CÉDULAS TDA 7 - F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 9 - F.T.A.,28-nov-07,4.000.000.000€,4.000.000.000€
CÉDULAS TDA 10 - F.T.A.,5-mar-08,4.750.000.000€,4.750.000.000€
CÉDULAS TDA 11 - F.T.A.,27-mar-08,5.000.000.000€,5.000.000.000€
CÉDULAS TDA 12 - F.T.A.,25-jun-08,2.200.000.000€,2.200.000.000€
PROGRAMA CEDULAS TDA - F.T.A.,2-mar-06,Máximo 30.000.000.000€,10.160.000.000€
GLOBALDRIVE (SPAIN) 2002-1 TDA - F.T.A.,3-dic-02,488.000.000€,-
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TDA - F.T.A.,5-abr-04,Máximo 3.000.000.000€,-
BANCO FINANTIA SOFINLOC Nº 1 - F.T.A.,1-jul-04,Máximo 150,000,000€,-
BANCO FINANTIA SOFINLOC TDA Nº 2 - F.T.A.,11-mar-05,Máximo 500.000.000€,-
BANCO FINANTIA SOFINLOC TDA Nº 3 - F.T.A.,30-mar-07,Máximo 600.000.000€,-
CAP-TDA 1 - F.T.A.,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA
MORATORIA NUCLEAR,25-abr-96,4.297.236.546€,-
CAJA SAN FERNANDO CDO I - F.T.A.,17-feb-05,$167.250.000,-
,,116.400.000€,-
FONDO DE TITULIZACION DE ACTIVOS NaOH,19-ene-07,Máximo 300.000.000€,-
MORTGAGE FINANCE SPAIN - F.T.A.,15-dic-06,Máximo 10.000.000.000€,-
TDA FS1 - F.T.A.,18-dic-07,81.458.955€,
