Fondo,Fecha Constitución,Emitido,Saldo Bonos
FTPYME TDA BANCA MARCH - F.T.A,25-oct-04,200.000.000€,110.508.573€
CM BANCAJA 1 - F.T.A,28-sep-05,556.200.000€,397.925.581€
EMPRESAS HIPOTECARIO TDA CAM 3, F.T.A.,7-jul-06,750.000.000€,729.413.980€
CÉDULAS TDA 1, F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2, F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 3, F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 4, F.T.A.,10-jun-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 5, F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 6, F.T.A.,18-may-05,3.000.000.000€,3.000.000.000€
CÉDULAS TDA 7, F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000€
PROGRAMA CEDULAS TDA, FTA,2-mar-06,Máximo 30.000.000.0000,5.650.000.000€
TDA AUTO ABS 2002, F.T.A.,8-jul-02,950.000.000€,167.108.618€
GLOBALDRIVE (SPAIN) 2002-1 TDA, F.T.A.,3-dic-02,488.000.000€,239.370.906€
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TdA, F.T.A.,5-abr-04,Máximo 3.000.000.000,869.459.503€
GLOBALDRIVE SERIES 3 (SPAIN) TDA, F.T.A.,10-may-05,499.999.948€,262.322.186€
BANCO FINANTIA SOFINLOC Nº 1, F.T.A.,1-jul-04,Máximo 150.000.000€,72.356.727€
BANCO FINANTIA SOFINLOC TDA Nº 2, F.T.A.,11-mar-05,Máximo 500.000.000€,120.269.719€
CAP-TDA 1, F.T.A.,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA MORATORIA NUCLEAR,25-abr-96,4.297.236.546€,0€
CAJA SAN FERNANDO CDO I, F.T.A.,17-feb-05,$167.250.000,$138.969.776
,,116.400.000€,94.605.896€
22,,,
