Fecha Bonos de la Serie A1(P) Bonos de la Serie A2(P) Bonos de la Serie B(P) Bonos de la Serie C(P)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 16.917,34 116.917,34 100.000,00 28.775,00 128.775,00 100.000,00 34.323,08 134.323,08
16 jul 2015 0,00 0,00 0,00 1.023,88 155,27 1.179,15 1.918,31 328,96 2.247,27 1.918,45 392,40 2.310,85
16 oct 2015 0,00 0,00 0,00 998,93 150,98 1.149,91 1.871,56 319,86 2.191,42 1.871,69 381,54 2.253,23
18 ene 2016 0,00 0,00 0,00 967,59 148,28 1.115,87 1.812,84 314,14 2.126,98 1.812,97 374,72 2.187,69
18 abr 2016 0,00 0,00 0,00 932,99 137,93 1.070,92 1.748,03 292,23 2.040,26 1.748,15 348,58 2.096,73
18 jul 2016 0,00 0,00 0,00 903,36 132,52 1.035,88 1.692,51 280,76 1.973,27 1.692,63 334,91 2.027,54
17 oct 2016 0,00 0,00 0,00 882,06 127,29 1.009,35 1.652,60 269,67 1.922,27 1.652,72 321,67 1.974,39
16 ene 2017 0,00 0,00 0,00 854,81 122,17 976,98 1.601,54 258,83 1.860,37 1.601,66 308,74 1.910,40
17 abr 2017 0,00 0,00 0,00 820,79 117,21 938,00 1.537,81 248,33 1.786,14 1.537,92 296,21 1.834,13
17 jul 2017 0,00 0,00 0,00 800,38 112,45 912,83 1.499,56 238,24 1.737,80 1.499,67 284,19 1.783,86
16 oct 2017 0,00 0,00 0,00 780,86 107,81 888,67 1.462,99 228,41 1.691,40 1.463,10 272,46 1.735,56
16 ene 2018 0,00 0,00 0,00 755,75 104,42 860,17 1.415,94 221,22 1.637,16 1.416,04 263,88 1.679,92
16 abr 2018 0,00 0,00 0,00 725,01 97,82 822,83 1.358,36 207,23 1.565,59 1.358,46 247,19 1.605,65
16 jul 2018 0,00 0,00 0,00 701,00 94,70 795,70 1.313,37 200,63 1.514,00 1.313,46 239,32 1.552,78
16 oct 2018 0,00 0,00 0,00 664,50 91,63 756,13 1.244,98 194,13 1.439,11 1.245,07 231,56 1.476,63
16 ene 2019 0,00 0,00 0,00 626,90 87,73 714,63 1.174,54 185,87 1.360,41 1.174,62 221,72 1.396,34
16 abr 2019 0,00 0,00 0,00 589,06 82,23 671,29 1.103,64 174,21 1.277,85 1.103,72 207,81 1.311,53
16 jul 2019 0,00 0,00 0,00 571,52 79,73 651,25 1.070,78 168,91 1.239,69 1.070,86 201,49 1.272,35
16 oct 2019 0,00 0,00 0,00 558,32 77,26 635,58 1.046,06 163,67 1.209,73 1.046,13 195,23 1.241,36
16 ene 2020 0,00 0,00 0,00 541,49 73,98 615,47 1.014,52 156,74 1.171,26 1.014,59 186,96 1.201,55
16 abr 2020 0,00 0,00 0,00 523,61 70,04 593,65 981,01 148,38 1.129,39 981,08 177,00 1.158,08
16 jul 2020 0,00 0,00 0,00 507,79 67,00 574,79 951,38 141,95 1.093,33 951,45 169,32 1.120,77
16 oct 2020 0,00 0,00 0,00 494,57 64,76 559,33 926,62 137,20 1.063,82 926,68 163,66 1.090,34
18 ene 2021 0,00 0,00 0,00 478,52 63,21 541,73 896,54 133,91 1.030,45 896,60 159,73 1.056,33
16 abr 2021 0,00 0,00 0,00 458,63 56,49 515,12 859,27 119,68 978,95 859,34 142,75 1.002,09
16 jul 2021 0,00 0,00 0,00 9.615,08 55,76 9.670,84 18.014,47 118,12 18.132,59 18.015,76 140,90 18.156,66
