Fecha Bonos de la Serie A1(T) Bonos de la Serie A2(T) Bonos de la Serie B(T) Bonos de la Serie C(T)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 15.375,68 115.375,68 100.000,00 27.385,89 127.385,89 100.000,00 32.666,47 132.666,47
16 jul 2015 0,00 0,00 0,00 898,75 141,15 1.039,90 1.816,84 322,65 2.139,49 1.817,01 384,88 2.201,89
16 oct 2015 0,00 0,00 0,00 876,86 137,43 1.014,29 1.772,58 314,15 2.086,73 1.772,74 374,74 2.147,48
18 ene 2016 0,00 0,00 0,00 848,61 135,17 983,78 1.715,48 308,97 2.024,45 1.715,64 368,56 2.084,20
18 abr 2016 0,00 0,00 0,00 815,29 125,93 941,22 1.648,13 287,86 1.935,99 1.648,28 343,38 1.991,66
18 jul 2016 0,00 0,00 0,00 789,14 121,20 910,34 1.595,26 277,06 1.872,32 1.595,40 330,49 1.925,89
17 oct 2016 0,00 0,00 0,00 769,53 116,63 886,16 1.555,62 266,60 1.822,22 1.555,76 318,01 1.873,77
16 ene 2017 0,00 0,00 0,00 744,50 112,17 856,67 1.505,02 256,40 1.761,42 1.505,15 305,85 1.811,00
17 abr 2017 0,00 0,00 0,00 709,90 107,85 817,75 1.435,08 246,53 1.681,61 1.435,21 294,07 1.729,28
17 jul 2017 0,00 0,00 0,00 692,14 103,73 795,87 1.399,18 237,12 1.636,30 1.399,31 282,85 1.682,16
16 oct 2017 0,00 0,00 0,00 674,27 99,72 773,99 1.363,05 227,94 1.590,99 1.363,17 271,91 1.635,08
16 ene 2018 0,00 0,00 0,00 652,13 96,86 748,99 1.318,29 221,41 1.539,70 1.318,41 264,12 1.582,53
16 abr 2018 0,00 0,00 0,00 621,97 91,02 712,99 1.257,32 208,05 1.465,37 1.257,43 248,18 1.505,61
16 jul 2018 0,00 0,00 0,00 606,18 88,42 694,60 1.225,41 202,12 1.427,53 1.225,52 241,10 1.466,62
16 oct 2018 0,00 0,00 0,00 589,76 85,84 675,60 1.192,20 196,22 1.388,42 1.192,31 234,06 1.426,37
16 ene 2019 0,00 0,00 0,00 569,02 82,38 651,40 1.150,29 188,31 1.338,60 1.150,40 224,63 1.375,03
16 abr 2019 0,00 0,00 0,00 542,12 77,33 619,45 1.095,91 176,76 1.272,67 1.096,01 210,85 1.306,86
16 jul 2019 0,00 0,00 0,00 12.941,08 75,04 13.016,12 26.160,68 171,54 26.332,22 26.163,09 204,62 26.367,71
