Fecha Bonos de la Serie A1(T) Bonos de la Serie A2(T) Bonos de la Serie B(T) Bonos de la Serie C(T)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 17.835,84 117.835,84 100.000,00 31.676,46 131.676,46 100.000,00 37.784,18 137.784,18
16 jul 2015 0,00 0,00 0,00 961,93 176,45 1.138,38 1.944,57 403,33 2.347,90 1.944,74 481,12 2.425,86
16 oct 2015 0,00 0,00 0,00 944,06 172,75 1.116,81 1.908,44 394,88 2.303,32 1.908,61 471,03 2.379,64
18 ene 2016 0,00 0,00 0,00 919,60 170,85 1.090,45 1.858,98 390,53 2.249,51 1.859,15 465,85 2.325,00
18 abr 2016 0,00 0,00 0,00 889,76 160,06 1.049,82 1.798,67 365,88 2.164,55 1.798,83 436,44 2.235,27
18 jul 2016 0,00 0,00 0,00 866,79 154,90 1.021,69 1.752,24 354,09 2.106,33 1.752,40 422,38 2.174,78
17 oct 2016 0,00 0,00 0,00 850,31 149,87 1.000,18 1.718,92 342,60 2.061,52 1.719,08 408,67 2.127,75
16 ene 2017 0,00 0,00 0,00 828,06 144,94 973,00 1.673,94 331,33 2.005,27 1.674,10 395,23 2.069,33
17 abr 2017 0,00 0,00 0,00 795,68 140,14 935,82 1.608,49 320,35 1.928,84 1.608,64 382,13 1.990,77
17 jul 2017 0,00 0,00 0,00 780,39 135,53 915,92 1.577,57 309,80 1.887,37 1.577,71 369,55 1.947,26
16 oct 2017 0,00 0,00 0,00 764,77 131,00 895,77 1.545,99 299,46 1.845,45 1.546,13 357,21 1.903,34
16 ene 2018 0,00 0,00 0,00 744,58 127,96 872,54 1.505,19 292,50 1.797,69 1.505,32 348,91 1.854,23
16 abr 2018 0,00 0,00 0,00 715,73 120,91 836,64 1.446,87 276,38 1.723,25 1.447,00 329,68 1.776,68
16 jul 2018 0,00 0,00 0,00 701,78 118,10 819,88 1.418,66 269,96 1.688,62 1.418,79 322,03 1.740,82
16 oct 2018 0,00 0,00 0,00 686,81 115,28 802,09 1.388,39 263,53 1.651,92 1.388,52 314,35 1.702,87
16 ene 2019 0,00 0,00 0,00 666,92 111,26 778,18 1.348,19 254,32 1.602,51 1.348,32 303,37 1.651,69
16 abr 2019 0,00 0,00 0,00 640,34 105,01 745,35 1.294,46 240,05 1.534,51 1.294,58 286,35 1.580,93
16 jul 2019 0,00 0,00 0,00 626,84 102,47 729,31 1.267,17 234,23 1.501,40 1.267,28 279,40 1.546,68
16 oct 2019 0,00 0,00 0,00 614,13 99,92 714,05 1.241,47 228,40 1.469,87 1.241,59 272,45 1.514,04
16 ene 2020 0,00 0,00 0,00 597,75 96,32 694,07 1.208,37 220,17 1.428,54 1.208,48 262,64 1.471,12
16 abr 2020 0,00 0,00 0,00 578,21 91,81 670,02 1.168,87 209,86 1.378,73 1.168,98 250,33 1.419,31
16 jul 2020 0,00 0,00 0,00 562,76 88,45 651,21 1.137,63 202,19 1.339,82 1.137,73 241,19 1.378,92
16 oct 2020 0,00 0,00 0,00 550,98 86,13 637,11 1.113,81 196,87 1.310,68 1.113,91 234,84 1.348,75
18 ene 2021 0,00 0,00 0,00 536,04 84,70 620,74 1.083,61 193,61 1.277,22 1.083,71 230,95 1.314,66
16 abr 2021 0,00 0,00 0,00 515,48 76,29 591,77 1.042,04 174,38 1.216,42 1.042,14 208,01 1.250,15
16 jul 2021 0,00 0,00 0,00 13.088,61 75,90 13.164,51 26.458,91 173,49 26.632,40 26.461,33 206,95 26.668,28
