Fondos de Titulización y FABs,Constitución,Emisión Bonos,Emisión Bonos
,,inicial
(euros),Saldo Vivo a 31/12/2015
(euros)
Hipotecaria (FTH) 2.000.000.000,00,,,444.888.503,10
IM FTGENCAT Sabadell 4, FTA,14/11/2008,500.000.000,00,0,00
IM Banco Popular MBS 1, FTA,12/11/2008,6.000.000.000,00,0,00
IM Cajamar Empresas 2 FTPYME, FTA,08/10/2008,400.000.000,00,0,00
IM Banco Popular FTPYME 2, FTA,26/09/2008,1.000.000.000,00,0,00
IM FTPYME Sabadell 7, FTA,22/09/2008,1.000.000.000,00,0,00
Cédulas Grupo Banco Popular 4, FTA,20/06/2008,1.000.000.000,00,0,00
IM Sabadell RMBS 2, FTA,18/06/2008,1.400.000.000,00,607.223.410,50
IM Grupo Banco Popular Financiaciones 1, FTA,03/06/2008,1.100.000.000,00,0,00
IM Caja Laboral 2, FTA,23/05/2008,600.000.000,00,405.828.786,36
IM Caixa Girona Empresas 1, FTA,23/04/2008,350.000.000,00,0,00
IM Terrassa RMBS 1, FTA,22/04/2008,500.000.000,00,0,00
IM Grupo Banco Popular Leasing 1, FTA,15/02/2008,1.680.000.000,00,0,00
IM Cajamar 6, FTA,06/02/2008,2.000.000.000,00,1.030.210.786,38
IM Grupo Banco Popular Empresas 2, FTA,29/11/2007,2.500.000.000,00,0,00
IM FTGENCAT Sabadell 3, FTA,28/11/2007,350.000.000,00,0,00
IM Cédulas 12, FTA,16/11/2007,1.050.000.000,00,0,00
IM Cajamar Empresas 1, FTA,14/11/2007,1.080.000.000,00,0,00
IM Sabadell Empresas 1, FTA,24/10/2007,1.000.000.000,00,0,00
IM Goya Hipotecario I, FTA,17/10/2007,1.900.000.000,00,0,00
IM Cajamar 5, FTA,12/09/2007,1.015.000.000,00,453.201.636,80
IM Préstamos Fondos Cédulas, FTA,25/07/2007,351.900.000,00,70.483.878,96
IM Grupo Banco Popular FTPYME II, FTA,02/07/2007,2.039.000.000,00,0,00
White Tower Europe 2007‐1, FTA,22/05/2007,107.835.000,00,0,00
Cédulas Grupo Banco Popular 3, FTA,23/04/2007,2.000.000.000,00,2.000.000.000,00
IM Cédulas 10, FTA,16/02/2007,1.300.000.000,00,1.300.000.000,00
IM Caja Laboral 1, FTA,04/12/2006,910.800.000,00,334.813.816,40
IM Grupo Banco Popular FTPYME I, FTA,29/11/2006,2.030.000.000,00,180.060.885,88
IM Grupo Banco Popular Empresas 1, FTA,18/09/2006,1.832.400.000,00,105.679.802,88
IM Cajamar 4, FTA,13/09/2006,1.012.000.000,00,417.496.189,40
IM Terrassa MBS 1, FTA,19/06/2006,525.000.000,00,121.492.694,02
IM FTGENCAT Sabadell 2, FTA,29/06/2006,500.000.000,00,71.250.503,37
IM Cédulas 9, FTA,06/06/2006,1.275.000.000,00,1.275.000.000,00
IM Pastor 4, FTA,05/06/2006,920.000.000,00,325.503.480,20
Cédulas Grupo Banco Popular 2, FTA,07/04/2006,3.000.000.000,00,0,00
IM Cédulas 7, FTA,28/03/2006,1.250.000.000,00,1.250.000.000,00
IM Cajamar 3, FTA,08/03/2006,1.215.600.000,00,404.934.631,50
INTERMONEY MASTER CÉDULAS, FTA / IM Cédulas M1,29/11/2005,1.655.000.000,00,1.655.000.000,00
IM Terrassa 1 FTGENCAT, FTA,28/11/2005,320.000.000,00,0,00
IM Ceres 2 Cajamar, FTA,25/11/2005,400.000.000,00,0,00
IM Cédulas 5, FTA,10/06/2005,1.250.000.000,00,1.250.000.000,00
IM Cédulas 4, FTA,08/03/2005,2.075.000.000,00,0,00
IM Banco Popular FTPYME 1, FTA,22/12/2004,2.000.000.000,00,0,00
IM FTPYME Sabadell 3, FTA,18/11/2004,600.000.000,00,0,00
IM Cédulas 3, FTA,16/11/2004,1.060.000.000,00,0,00
IM Cajamar 1, FTA,23/07/2004,370.000.000,00,85.337.887,45
IM Cédulas 2, FTA,07/06/2004,1.475.000.000,00,0,00
IM Ceres 1 Cajamar, FTA,04/06/2004,450.500.000,00,0,00
IM Cédulas 1 Grupo Banco Popular, FTA,05/02/2004,2.000.000.000,00,0,00
IM Cédulas 1 Grupo Banco Popular, FTA,05/02/2004,2.000.000.000,00,0,00
TOTAL,,99.180.533.206,87,21.748.860.198,73
