TACP 14% - FTA SANTANDER HIPOTECARIO 3
AMORTIZACION INTERESES AMORTIZACION INTERESESAMORTIZACIONINTERESES AMORTIZACIONINTERESESAMORTIZACIONINTERESES AMORTIZACION INTERESES AMORTIZACION INTERESES AMORTIZACIONINTERESES
A1 A1 A2 A2 A3 A3 B B C C D D E E F F
18/10/2012 0,00 3,160,31 326,37 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 3,624,19 948,76
18/1/2013 0,00 3,031,21 293,62 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 3,476,34 908,05
18/4/2013 0,00 2,907,20 256,50 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 3,334,33 850,10
18/7/2013 0,00 2,788,13 229,54 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 3,197,93 822,50
18/10/2013 0,00 2,673,08 203,16 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 3,066,94 795,61
18/1/2014 0,00 2,562,75 175,46 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,940,38 761,15
18/4/2014 0,00 2,457,22 145,65 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 2,819,02 712,29
18/7/2014 0,00 2,355,22 122,08 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 2,702,94 688,88
18/10/2014 0,00 2,258,01 99,01 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,590,75 666,09
18/1/2015 0,00 2,164,76 75,60 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,483,82 636,98
18/4/2015 0,00 2,074,99 52,01 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 2,381,24 595,84
18/7/2015 0,00 1,988,81 31,31 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 1,834,95 576,00
18/10/2015 0,00 1,065,38 11,04 3,082,98 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/1/2016 0,00 0,00 0,00 6,698,23 1,019,44 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/4/2016 0,00 0,00 0,00 6,415,88 938,67 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 555,61
18/7/2016 0,00 0,00 0,00 6,146,21 871,91 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 555,61
18/10/2016 0,00 0,00 0,00 5,888,08 816,84 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/1/2017 0,00 0,00 0,00 5,639,33 754,91 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/4/2017 0,00 0,00 0,00 5,402,17 680,47 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00 549,50
18/7/2017 0,00 0,00 0,00 5,174,59 631,83 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 555,61
18/10/2017 0,00 0,00 0,00 4,956,82 584,34 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/1/2018 0,00 0,00 0,00 4,747,05 532,20 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/4/2018 0,00 0,00 0,00 4,545,17 471,78 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00 549,50
18/7/2018 0,00 0,00 0,00 4,351,57 429,74 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 555,61
18/10/2018 0,00 0,00 0,00 4,165,54 388,68 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/1/2019 0,00 0,00 0,00 3,986,60 344,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/4/2019 0,00 0,00 0,00 3,807,72 296,35 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00 549,50
18/7/2019 0,00 0,00 0,00 3,652,18 260,03 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 555,61
18/10/2019 0,00 0,00 0,00 3,495,30 224,47 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/1/2020 0,00 0,00 0,00 3,345,10 187,70 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 561,71
18/4/2020 0,00 0,00 0,00 3,200,99 150,86 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 555,61
18/7/2020 0,00 0,00 0,00 11,298,48 117,55 100,000,00 1,042,96 100,000,00 1,063,18 100,000,00 1,136,49 100,000,00 1,515,66 50,000,00 555,61
100,000,00 100,000,00 100,000,00 100,000,00 100,000,00 100,000,00 100,000,00 100,000,00
