Fondo,Fecha Constitución,Emitido,Saldo Bonos
31 de mayo de 2010
EMPRESAS HIPOTECARIO TDA CAM 5 - F.T.A.,17-oct-07,1.430.800.000€,870.281.200,00€
EMPRESAS TDA CAM 6 - F.T.A.,26-mar-08,1.000.000.000€,471.611.737,50€
CAIXA PENEDES PYMES 1 - F.T.A.,22-jun-07,790.000.000€,434.081.767,00€
TDA EMPRESAS PASTOR 5 - F.T.A.,17-dic-07,568.700.000€,238.111.076,72€
MADRID EMPRESAS I - F.T.A.,22-dic-07,780.000.000€,351.829.789,35€
FTPYME TDA CAM 7 - F.T.A.,1-ago-08,1.000.000.000€,753.897.528,00€
CAIXA PENEDES FTGENCAT 1 TDA - F.T.A.,5-ago-08,570.000.000€,403.412.931,95€
TDA SA NOSTRA EMPRESAS 1 - F.T.A.,5-ago-08,250.000.000€,138.294.669,52€
TDA SA NOSTRA EMPRESAS 2 - F.T.A.,27-mar-09,355.000.000€,281.761.840,39€
TDA CCM EMPRESAS 1 - F.T.A.,19-dic-08,400.000.000€,157.836.508,00€
TDA CORPORATIVOS I - F.T.A,20-nov-09,837.150.000€,758.091.111,36€
TDA EMPRESAS 1 - F.T.A.,25-nov-09,275.000.000€,254.045.945,45€
CÉDULAS TDA 1 - F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000,00€
CÉDULAS TDA 2 - F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000,00€
CÉDULAS TDA 3 - F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000,00€
CÉDULAS TDA 5 - F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000,00€
CÉDULAS TDA 6 - F.T.A.,18-may-05,3.000.000.000€,3.000.000.000,00€
CÉDULAS TDA 7 - F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000,00€
CÉDULAS TDA 9 - F.T.A.,28-nov-07,4.000.000.000€,3.150.000.000,00€
CÉDULAS TDA 10 - F.T.A.,5-mar-08,4.750.000.000€,3.150.000.500,00€
CÉDULAS TDA 11 - F.T.A.,27-mar-08,5.000.000.000€,4.000.000.000,00€
CÉDULAS TDA 12 - F.T.A.,25-jun-08,2.200.000.000€,2.000.000.200,00€
CÉDULAS TDA 13 - F.T.A.,3-dic-08,2.260.000.000€,2.140.000.328,00€
CÉDULAS TDA 14 - F.T.A.,20-abr-09,2.200.000.000€,1.000.000.320,00€
CÉDULAS TDA 15 - F.T.A.,28-may-09,2.190.000.000€,2.070.000.264,00€
CÉDULAS TDA 16 - F.T.A.,7-jul-09,2.170.000.000€,2.170.000.000,00€
CÉDULAS TDA 17 - F.T.A.,21-sep-09,1.950.000.000€,1.950.000.000€
CÉDULAS TDA 18 - F.T.A.,7-abr-10,Máximo 20.000.000.000€,1.770.000.000€
PROGRAMA CEDULAS TDA - F.T.A.,2-mar-06,Máximo 30.000.000.000€,10.160.000.000,00€
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TDA - F.T.A.,5-abr-04,Máximo 3.000.000.000€,-
AUTO ABS 2009-1,17-abr-09,1.180.000.000€,1.180.000.000€
BANCO FINANTIA SOFINLOC Nº 1 - F.T.A.,1-jul-04,Máximo 150,000,000€,-
BANCO FINANTIA SOFINLOC TDA Nº 2 - F.T.A.,11-mar-05,Máximo 500.000.000€,-
BANCO FINANTIA SOFINLOC TDA Nº 3 - F.T.A.,30-mar-07,Máximo 600.000.000€,-
SOFINLOC ESPAÑA TDA Nº 1, F.T.A.,3-feb-09,Máximo 234.000.000 €,-
CAP-TDA 1 - F.T.A.,25-jun-03,300.000.000€,300.000.000,00€
CAP-TDA 2, F.T.A.,19-may-10,Máximo 300.000.000€,-
FONDO DE TITULIZACION DE ACTIVOS RESULTANTES DE LA MORATORIA
NUCLEAR,25-abr-96,4.297.236.546€,-
CAJA SAN FERNANDO CDO I - F.T.A.,17-feb-05,$167.250.000,-
,,116.400.000€,-
FONDO DE TITULIZACION DE ACTIVOS NaOH,19-ene-07,Máximo 300.000.000€,-
MORTGAGE FINANCE SPAIN - F.T.A.,15-dic-06,Máximo 10.000.000.000€,-
TDA FS1 - F.T.A.,18-dic-07,Máximo 450.000.000€,
