Fondo,Fecha Constitución,Emitido,Saldo Bonos
CÉDULAS TDA 4 - F.T.A.,10-jun-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 5 - F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 6 - F.T.A.,18-may-05,3.000.000.000€,3.000.000.000€
CÉDULAS TDA 7 - F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 9 - F.T.A.,28-nov-07,4.000.000.000€,4.000.000.000€
PROGRAMA CEDULAS TDA - F.T.A.,2-mar-06,Máximo 30.000.000.000€,10.160.000.000€
TDA AUTO ABS 2002 - F.T.A.,8-jul-02,950.000.000€,-
GLOBALDRIVE (SPAIN) 2002-1 TDA - F.T.A.,3-dic-02,488.000.000€,-
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TDA - F.T.A.,5-abr-04,Máximo 3.000.000.000€,-
GLOBALDRIVE SERIES 3 (SPAIN) TDA - F.T.A.,10-may-05,499.999.948€,-
BANCO FINANTIA SOFINLOC Nº 1 - F.T.A.,1-jul-04,Máximo 150,000,000€,-
BANCO FINANTIA SOFINLOC TDA Nº 2 - F.T.A.,11-mar-05,Máximo 500.000.000€,-
BANCO FINANTIA SOFINLOC TDA Nº 3 - F.T.A.,30-mar-07,Máximo 600.000.000€,-
CAP-TDA 1 - F.T.A.,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA
MORATORIA NUCLEAR,25-abr-96,4.297.236.546€,-
CAJA SAN FERNANDO CDO I - F.T.A.,17-feb-05,$167.250.000,-
,,116.400.000€,-
FONDO DE TITULIZACION DE ACTIVOS NaOH,19-ene-07,Máximo 300.000.000€,-
MORTGAGE FINANCE SPAIN - F.T.A.,15-dic-06,Máximo 10.000.000.000€,-
TDA FS1 - F.T.A.,18-dic-07,81.458.955€,
21,,,
