n_linea,ctexto1,ctexto2,distancia,texto1,texto2
52,19,19,0,FACTORES DE RIESGO ,FACTORES DE RIESGO 
53,28,28,0,INFORMACIÓN SOBRE EL EMISOR ,INFORMACIÓN SOBRE EL EMISOR 
54,75,75,0,Declaración de que el emisor se ha constituido como fondo de titulización. ,Declaración de que el emisor se ha constituido como fondo de titulización. 
55,39,39,0,Nombre legal y profesional del emisor. ,Nombre legal y profesional del emisor. 
56,52,52,0,Lugar del registro del emisor y número de registro. ,Lugar del registro del emisor y número de registro. 
57,57,57,0,Fecha de constitución y periodo de actividad del emisor. ,Fecha de constitución y periodo de actividad del emisor. 
58,33,33,0,Fecha de constitución del Fondo. ,Fecha de constitución del Fondo. 
59,32,32,0,Periodo de actividad del Fondo. ,Periodo de actividad del Fondo. 
60,34,34,0,Liquidación Anticipada del Fondo. ,Liquidación Anticipada del Fondo. 
61,21,21,0,Extinción del Fondo. ,Extinción del Fondo. 
62,68,68,0,"Domicilio, personalidad jurídica y legislación aplicable al emisor. ","Domicilio, personalidad jurídica y legislación aplicable al emisor. "
63,26,26,0,Régimen fiscal del Fondo. ,Régimen fiscal del Fondo. 
64,44,44,0,Capital autorizado y emitido por el emisor. ,Capital autorizado y emitido por el emisor. 
65,26,26,0,DESCRIPCIÓN DE LA EMPRESA ,DESCRIPCIÓN DE LA EMPRESA 
66,61,61,0,Breve descripción de las actividades principales del emisor. ,Breve descripción de las actividades principales del emisor. 
67,64,64,0,Descripción general de las partes del programa de titulización. ,Descripción general de las partes del programa de titulización. 
68,55,55,0,"ÓRGANOS DE ADMINISTRACIÓN, DE GESTIÓN Y DE SUPERVISIÓN ","ÓRGANOS DE ADMINISTRACIÓN, DE GESTIÓN Y DE SUPERVISIÓN "
69,25,25,0,ACCIONISTAS PRINCIPALES  ,ACCIONISTAS PRINCIPALES  
70,12,12,0,INFORMACIÓN ,INFORMACIÓN 
71,11,11,0,FINANCIERA ,FINANCIERA 
72,10,10,0,REFERENTE ,REFERENTE 
73,8,8,0,ACTIVOS ,ACTIVOS 
74,65,65,0,"RESPONSABILIDADES DEL EMISOR, POSICIÓN FINANCIERA Y BENEFICIOS Y ","RESPONSABILIDADES DEL EMISOR, POSICIÓN FINANCIERA Y BENEFICIOS Y "
75,9,9,0,PÉRDIDAS ,PÉRDIDAS 
76,89,89,0,Declaración sobre inicio de operaciones y estados financieros del emisor anteriores a la ,Declaración sobre inicio de operaciones y estados financieros del emisor anteriores a la 
77,33,33,0,fecha del Documento de Registro. ,fecha del Documento de Registro. 
78,34,34,0,Información financiera histórica. ,Información financiera histórica. 
79,8,8,0,8.2 bis ,8.2 bis 
80,87,87,0,Información financiera histórica para emisiones de valores con denominación individual ,Información financiera histórica para emisiones de valores con denominación individual 
81,34,34,0,igual o superior a 100.000 euros. ,igual o superior a 100.000 euros. 
82,42,42,0,Procedimientos judiciales y de arbitraje. ,Procedimientos judiciales y de arbitraje. 
83,64,64,0,Cambio adverso importante en la posición financiera del emisor. ,Cambio adverso importante en la posición financiera del emisor. 
84,12,12,0,INFORMACIÓN ,INFORMACIÓN 
85,10,10,0,"TERCEROS, ","TERCEROS, "
86,14,14,0,DECLARACIONES ,DECLARACIONES 
87,9,9,0,EXPERTOS ,EXPERTOS 
88,25,25,0,DECLARACIONES DE INTERÉS ,DECLARACIONES DE INTERÉS 
89,69,69,0,Declaración o informe atribuido a una persona en calidad de experto. ,Declaración o informe atribuido a una persona en calidad de experto. 
90,7,7,0,Página ,Página 
91,36,36,0,Información procedente de terceros. ,Información procedente de terceros. 
92,25,25,0,DOCUMENTOS PARA CONSULTA ,DOCUMENTOS PARA CONSULTA 
93,26,26,0,Documentos para consulta. ,Documentos para consulta. 
94,16,16,0,NOTA DE VALORES ,NOTA DE VALORES 
95,83,83,0,(Anexo XIII del reglamento (CE) nº 809/2004 de la Comisión de 29 de abril de 2004) ,(Anexo XIII del reglamento (CE) nº 809/2004 de la Comisión de 29 de abril de 2004) 
96,22,22,0,PERSONAS RESPONSABLES ,PERSONAS RESPONSABLES 
97,74,74,0,Personas responsables de la información que figura en la Nota de Valores. ,Personas responsables de la información que figura en la Nota de Valores. 
98,55,55,0,Declaración de los responsables de la Nota de Valores. ,Declaración de los responsables de la Nota de Valores. 
99,19,19,0,FACTORES DE RIESGO ,FACTORES DE RIESGO 
100,21,21,0,INFORMACIÓN ESENCIAL ,INFORMACIÓN ESENCIAL 
101,72,72,0,Interés de las personas físicas y jurídicas participantes en la oferta. ,Interés de las personas físicas y jurídicas participantes en la oferta. 
102,57,57,0,INFORMACIÓN RELATIVA A LOS VALORES QUE VAN A OFERTARSE Y ,INFORMACIÓN RELATIVA A LOS VALORES QUE VAN A OFERTARSE Y 
103,23,23,0,ADMITIRSE A COTIZACIÓN ,ADMITIRSE A COTIZACIÓN 
104,30,30,0,Importe total de los valores. ,Importe total de los valores. 
105,45,45,0,Descripción del tipo y clase de los valores. ,Descripción del tipo y clase de los valores. 
106,48,48,0,Legislación según la cual se crean los valores. ,Legislación según la cual se crean los valores. 
107,91,91,0,Indicación de si los valores son nominativos o al portador y si están en forma de título o ,Indicación de si los valores son nominativos o al portador y si están en forma de título o 
108,21,21,0,anotación en cuenta. ,anotación en cuenta. 
109,22,22,0,Divisa de la emisión. ,Divisa de la emisión. 
110,53,53,0,Clasificación de los valores según la subordinación. ,Clasificación de los valores según la subordinación. 
111,54,54,0,Descripción de los derechos vinculados a los valores. ,Descripción de los derechos vinculados a los valores. 
112,76,76,0,Tipo de interés nominal y disposiciones relativas al pago de los intereses. ,Tipo de interés nominal y disposiciones relativas al pago de los intereses. 
113,52,52,0,Fecha de vencimiento y amortización de los valores. ,Fecha de vencimiento y amortización de los valores. 
114,28,28,0,Indicación del rendimiento. ,Indicación del rendimiento. 
115,48,48,0,Representación de los tenedores de los valores. ,Representación de los tenedores de los valores. 
116,76,76,0,"Resoluciones, autorizaciones y aprobaciones para la emisión de los valores. ","Resoluciones, autorizaciones y aprobaciones para la emisión de los valores. "
117,33,33,0,Fecha de emisión de los valores. ,Fecha de emisión de los valores. 
118,62,62,0,Restricciones sobre la libre transmisibilidad de los valores. ,Restricciones sobre la libre transmisibilidad de los valores. 
119,48,48,0,ACUERDOS DE ADMISIÓN A COTIZACIÓN Y NEGOCIACIÓN ,ACUERDOS DE ADMISIÓN A COTIZACIÓN Y NEGOCIACIÓN 
120,45,45,0,Mercado en el que se negociarán los valores. ,Mercado en el que se negociarán los valores. 
121,42,42,0,Agente de pagos y entidades depositarias. ,Agente de pagos y entidades depositarias. 
122,50,50,0,GASTOS DE LA OFERTA Y DE LA ADMISIÓN A COTIZACIÓN ,GASTOS DE LA OFERTA Y DE LA ADMISIÓN A COTIZACIÓN 
123,22,22,0,INFORMACIÓN ADICIONAL ,INFORMACIÓN ADICIONAL 
124,80,80,0,Declaración de la capacidad en que han actuado los asesores relacionados con la ,Declaración de la capacidad en que han actuado los asesores relacionados con la 
125,48,48,0,emisión que se mencionan en la Nota de Valores. ,emisión que se mencionan en la Nota de Valores. 
126,88,88,0,Otra información de la Nota de Valores que haya sido auditada o revisada por auditores. ,Otra información de la Nota de Valores que haya sido auditada o revisada por auditores. 
127,69,69,0,Declaración o informe atribuido a una persona en calidad de experto. ,Declaración o informe atribuido a una persona en calidad de experto. 
128,36,36,0,Información procedente de terceros. ,Información procedente de terceros. 
129,80,80,0,Ratings o calificaciones asignados a los valores por agencias de calificación.  ,Ratings o calificaciones asignados a los valores por agencias de calificación.  
130,54,54,0,MÓDULO ADICIONAL A LA NOTA DE VALORES DE TITULIZACIÓN ,MÓDULO ADICIONAL A LA NOTA DE VALORES DE TITULIZACIÓN 
131,83,83,0,(Anexo VIII del reglamento (CE) nº 809/2004 de la Comisión de 29 de abril de 2004) ,(Anexo VIII del reglamento (CE) nº 809/2004 de la Comisión de 29 de abril de 2004) 
132,9,9,0,VALORES. ,VALORES. 
133,36,36,0,Denominación mínima de una emisión. ,Denominación mínima de una emisión. 
134,88,88,0,Confirmación de que la información relativa a una empresa o deudor que no participen en ,Confirmación de que la información relativa a una empresa o deudor que no participen en 
135,7,7,0,Página ,Página 
136,42,42,0,la emisión se ha reproducido exactamente. ,la emisión se ha reproducido exactamente. 
137,20,20,0,ACTIVOS SUBYACENTES ,ACTIVOS SUBYACENTES 
138,82,82,0,Confirmación sobre la capacidad de los activos titulizados de producir los fondos ,Confirmación sobre la capacidad de los activos titulizados de producir los fondos 
139,26,26,0,pagaderos a los valores.  ,pagaderos a los valores.  
140,34,34,0,Activos que respaldan la emisión. ,Activos que respaldan la emisión. 
141,78,78,0,Jurisdicción legal por la que se rigen los activos que van a ser titulizados. ,Jurisdicción legal por la que se rigen los activos que van a ser titulizados. 
142,43,43,0,Características generales de los deudores. ,Características generales de los deudores. 
143,59,59,0,Naturaleza legal de los activos que van a ser titulizados. ,Naturaleza legal de los activos que van a ser titulizados. 
144,59,59,0,Fecha o fechas de vencimiento o expiración de los activos. ,Fecha o fechas de vencimiento o expiración de los activos. 
145,24,24,0,Importe de los activos. ,Importe de los activos. 
146,76,76,0,Ratio del saldo vivo del principal sobre el valor de tasación o el nivel de ,Ratio del saldo vivo del principal sobre el valor de tasación o el nivel de 
147,23,23,0,sobrecolateralización. ,sobrecolateralización. 
148,35,35,0,Método de creación de los activos. ,Método de creación de los activos. 
149,85,85,0,Indicación de declaraciones y garantías dadas al emisor en relación con los activos. ,Indicación de declaraciones y garantías dadas al emisor en relación con los activos. 
150,40,40,0,Sustitución de los activos titulizados. ,Sustitución de los activos titulizados. 
151,67,67,0,Pólizas de seguros relevantes relativas a los activos titulizados. ,Pólizas de seguros relevantes relativas a los activos titulizados. 
152,84,84,0,Información relativa a los deudores en los casos en los que los activos titulizados ,Información relativa a los deudores en los casos en los que los activos titulizados 
153,82,82,0,comprendan obligaciones de 5 o menos deudores que sean personas jurídicas o si un ,comprendan obligaciones de 5 o menos deudores que sean personas jurídicas o si un 
154,78,78,0,deudor representa el 20% o más de los activos o si un deudor supone una parte ,deudor representa el 20% o más de los activos o si un deudor supone una parte 
155,27,27,0,sustancial de los activos. ,sustancial de los activos. 
156,91,91,0,"Detalle de la relación, si es importante para la emisión, entre el emisor, el garante y el ","Detalle de la relación, si es importante para la emisión, entre el emisor, el garante y el "
157,8,8,0,deudor. ,deudor. 
158,80,80,0,"Si los activos comprenden valores de renta fija, descripción de las condiciones ","Si los activos comprenden valores de renta fija, descripción de las condiciones "
159,13,13,0,principales. ,principales. 
160,84,84,0,"Si los activos comprenden valores de renta variable, descripción de las condiciones ","Si los activos comprenden valores de renta variable, descripción de las condiciones "
161,13,13,0,principales. ,principales. 
162,85,85,0,Si los activos comprenden valores de renta variable que no se negocien en un mercado ,Si los activos comprenden valores de renta variable que no se negocien en un mercado 
163,89,89,0,regulado o equivalente en el caso de que representen más del diez (10) por ciento de los ,regulado o equivalente en el caso de que representen más del diez (10) por ciento de los 
164,65,65,0,"activos titulizados, descripción de las condiciones principales. ","activos titulizados, descripción de las condiciones principales. "
165,90,90,0,Informes de valoración de la propiedad y los flujos de tesorería/ingresos en los casos en ,Informes de valoración de la propiedad y los flujos de tesorería/ingresos en los casos en 
166,77,77,0,que una parte importante de los activos esté asegurada por bienes inmuebles. ,que una parte importante de los activos esté asegurada por bienes inmuebles. 
167,58,58,0,Activos activamente gestionados que respaldan la emisión. ,Activos activamente gestionados que respaldan la emisión. 
168,86,86,0,Declaración en el caso de que el emisor se proponga emitir nuevos valores respaldados ,Declaración en el caso de que el emisor se proponga emitir nuevos valores respaldados 
169,88,88,0,por los mismos activos y descripción de cómo se informará a los tenedores de esa clase. ,por los mismos activos y descripción de cómo se informará a los tenedores de esa clase. 
170,23,23,0,ESTRUCTURA Y TESORERÍA ,ESTRUCTURA Y TESORERÍA 
171,46,46,0,Descripción de la estructura de la operación. ,Descripción de la estructura de la operación. 
172,87,87,0,Descripción de las entidades que participan en la emisión y de las funciones que deben ,Descripción de las entidades que participan en la emisión y de las funciones que deben 
173,9,9,0,ejercer. ,ejercer. 
174,87,87,0,"Descripción del método y de la fecha de venta, transferencia, novación o asignación de ","Descripción del método y de la fecha de venta, transferencia, novación o asignación de "
175,76,76,0,los activos o de cualquier derecho y/u obligación en los activos al emisor. ,los activos o de cualquier derecho y/u obligación en los activos al emisor. 
176,33,33,0,Explicación del flujo de fondos. ,Explicación del flujo de fondos. 
177,89,89,0,Cómo los flujos de los activos servirán para cumplir las obligaciones del emisor con los ,Cómo los flujos de los activos servirán para cumplir las obligaciones del emisor con los 
178,26,26,0,tenedores de los valores. ,tenedores de los valores. 
179,42,42,0,Información sobre toda mejora de crédito. ,Información sobre toda mejora de crédito. 
180,37,37,0,Descripción de la mejora de crédito. ,Descripción de la mejora de crédito. 
181,12,12,0,Préstamo B  ,Préstamo B  
182,19,19,0,Fondos de Reserva. ,Fondos de Reserva. 
183,48,48,0,Detalles de cualquier financiación subordinada. ,Detalles de cualquier financiación subordinada. 
184,32,32,0,Préstamo Subordinado Principal. ,Préstamo Subordinado Principal. 
185,7,7,0,Página ,Página 
186,37,37,0,Préstamo Subordinado para Intereses. ,Préstamo Subordinado para Intereses. 
187,32,32,0,Préstamo para Gastos Iniciales. ,Préstamo para Gastos Iniciales. 
188,75,75,0,Parámetros para la inversión de excedentes temporales de liquidez y partes ,Parámetros para la inversión de excedentes temporales de liquidez y partes 
189,31,31,0,responsables de tal inversión. ,responsables de tal inversión. 
190,21,21,0,Cuenta de Tesorería. ,Cuenta de Tesorería. 
191,54,54,0,Cobro por el Fondo los pagos relativos a los activos. ,Cobro por el Fondo los pagos relativos a los activos. 
192,54,54,0,Orden de prelación de pagos efectuados por el emisor. ,Orden de prelación de pagos efectuados por el emisor. 
193,86,86,0,Origen y aplicación de fondos en la Fecha de Desembolso de los Bonos hasta la primera ,Origen y aplicación de fondos en la Fecha de Desembolso de los Bonos hasta la primera 
194,25,25,0,"Fecha de Pago, excluida. ","Fecha de Pago, excluida. "
195,89,89,0,"Origen y aplicación de fondos a partir de la primera Fecha de Pago, incluida, y hasta la ","Origen y aplicación de fondos a partir de la primera Fecha de Pago, incluida, y hasta la "
196,88,88,0,"última Fecha de Pago o la liquidación del Fondo, excluida. Orden de Prelación de Pagos. ","última Fecha de Pago o la liquidación del Fondo, excluida. Orden de Prelación de Pagos. "
197,54,54,0,Orden de Prelación de Pagos de Liquidación del Fondo. ,Orden de Prelación de Pagos de Liquidación del Fondo. 
198,36,36,0,Margen de Intermediación Financiera ,Margen de Intermediación Financiera 
199,80,80,0,Otros acuerdos de los que dependen los pagos de intereses y del principal a los ,Otros acuerdos de los que dependen los pagos de intereses y del principal a los 
200,12,12,0,inversores. ,inversores. 
201,41,41,0,Agencia de Pagos de la Emisión de Bonos. ,Agencia de Pagos de la Emisión de Bonos. 
202,88,88,0,"Nombre, dirección y actividades económicas significativas del originador de los activos ","Nombre, dirección y actividades económicas significativas del originador de los activos "
203,18,18,0,que se titulizan. ,que se titulizan. 
204,87,87,0,Rendimiento y/o reembolso de los valores relacionados con otros que no son activos del ,Rendimiento y/o reembolso de los valores relacionados con otros que no son activos del 
205,8,8,0,emisor. ,emisor. 
206,48,48,0,"Administrador, agente de cálculo o equivalente. ","Administrador, agente de cálculo o equivalente. "
207,70,70,0,Gestión y representación del Fondo y de los titulares de los valores. ,Gestión y representación del Fondo y de los titulares de los valores. 
208,54,54,0,Administración y custodia de los activos titulizados. ,Administración y custodia de los activos titulizados. 
209,84,84,0,"Nombre, dirección y breve descripción de cualquier contrapartida por operaciones de ","Nombre, dirección y breve descripción de cualquier contrapartida por operaciones de "
210,44,44,0,"permuta, de crédito, liquidez o de cuentas. ","permuta, de crédito, liquidez o de cuentas. "
211,25,25,0,INFORMACIÓN POST EMISIÓN ,INFORMACIÓN POST EMISIÓN 
212,25,25,0,GLOSARIO DE DEFINICIONES ,GLOSARIO DE DEFINICIONES 
213,104,104,0,(l Sresente documento constitu\e un folleto informativo el “Folleto” reJistrado en la Comisión 1acional ,(l Sresente documento constitu\e un folleto informativo el “Folleto” reJistrado en la Comisión 1acional 
214,102,102,0,"del Mercado de Valores, conforme a lo previsto en el Reglamento (CE) nº 809/2004 de la Comisión de 29 ","del Mercado de Valores, conforme a lo previsto en el Reglamento (CE) nº 809/2004 de la Comisión de 29 "
215,97,97,0,"de abril de 2004, en su redacción vigente “Reglamento 809/2004” y Real Decreto 1310/2005 de 4 de ","de abril de 2004, en su redacción vigente “Reglamento 809/2004” y Real Decreto 1310/2005 de 4 de "
216,105,105,0,"noviembre, por el que se desarrolla parcialmente la Ley 24/1988, de 28 de julio, del Mercado de Valores, ","noviembre, por el que se desarrolla parcialmente la Ley 24/1988, de 28 de julio, del Mercado de Valores, "
217,103,103,0,"en materia de admisión a negociación de valores en mercados secundarios oficiales, de ofertas públicas ","en materia de admisión a negociación de valores en mercados secundarios oficiales, de ofertas públicas "
218,104,104,0,"de venta o suscripción y del folleto exigible a tales efectos, en su redacción vigente el “Real Decreto ","de venta o suscripción y del folleto exigible a tales efectos, en su redacción vigente el “Real Decreto "
219,28,28,0,"1310/2005”, comprensivo de: ","1310/2005”, comprensivo de: "
220,103,103,0,"Una descripción de los principales factores de riesgo ligados al Emisor, a los valores y a los activos ","Una descripción de los principales factores de riesgo ligados al Emisor, a los valores y a los activos "
221,51,51,0,Tue resSaldan la emisión los “Factores de Riesgo”. ,Tue resSaldan la emisión los “Factores de Riesgo”. 
222,99,99,0,"Un documento de registro de valores de titulización, elaborado siguiendo el esquema previsto en el ","Un documento de registro de valores de titulización, elaborado siguiendo el esquema previsto en el "
223,54,54,0,"Anexo 9,, del 5eJlamento  el “Documento de Registro”. ","Anexo 9,, del 5eJlamento  el “Documento de Registro”. "
224,89,89,0,"Una nota sobre los valores, elaborada siguiendo el esquema previsto en el Anexo XIII del ","Una nota sobre los valores, elaborada siguiendo el esquema previsto en el Anexo XIII del "
225,34,34,0,5eJlamento  la “Nota de Valores”. ,5eJlamento  la “Nota de Valores”. 
226,94,94,0,"Un módulo adicional a la Nota sobre los Valores, elaborado siguiendo el módulo previsto en el ","Un módulo adicional a la Nota sobre los Valores, elaborado siguiendo el módulo previsto en el "
227,50,50,0,"$ne[o 9,,, del 5eJlamento  el “Módulo Adicional”. ","$ne[o 9,,, del 5eJlamento  el “Módulo Adicional”. "
228,29,29,0,Un glosario de definiciones. ,Un glosario de definiciones. 
229,19,19,0,FACTORES DE RIESGO ,FACTORES DE RIESGO 
230,71,71,0,RIESGOS DERIVADOS DE LA NATURALEZA JURÍDICA Y LA ACTIVIDAD DEL EMISOR. ,RIESGOS DERIVADOS DE LA NATURALEZA JURÍDICA Y LA ACTIVIDAD DEL EMISOR. 
231,64,64,0,a) Naturaleza del Fondo y obligaciones de la Sociedad Gestora.  ,a) Naturaleza del Fondo y obligaciones de la Sociedad Gestora.  
232,83,83,0,RURAL HIPOTECARIO XVII FONDO DE TITULIZACIÓN DE ACTIVOS (el “Fondo” \o el “Emisor” ,RURAL HIPOTECARIO XVII FONDO DE TITULIZACIÓN DE ACTIVOS (el “Fondo” \o el “Emisor” 
233,101,101,0,"constituye un patrimonio separado y cerrado carente de personalidad jurídica que, de conformidad con ","constituye un patrimonio separado y cerrado carente de personalidad jurídica que, de conformidad con "
234,103,103,0,"el Real Decreto 926/1998, de 14 de mayo, por el que se regulan los fondos de titulización de activos y ","el Real Decreto 926/1998, de 14 de mayo, por el que se regulan los fondos de titulización de activos y "
235,92,92,0,"las sociedades gestoras de fondos de titulización, en su redacción vigente el “Real Decreto ","las sociedades gestoras de fondos de titulización, en su redacción vigente el “Real Decreto "
236,91,91,0,"926/1998”, es gestionado por una sociedad gestora, EUROPEA DE TITULIZACIÓN, S.A., SOCIEDAD ","926/1998”, es gestionado por una sociedad gestora, EUROPEA DE TITULIZACIÓN, S.A., SOCIEDAD "
237,70,70,0,"GESTORA DE FONDOS '( 7,78/,=$C,Ï1 la “Sociedad Gestora” o “EUROPEA DE ","GESTORA DE FONDOS '( 7,78/,=$C,Ï1 la “Sociedad Gestora” o “EUROPEA DE "
238,92,92,0,"7,78/,=$&,Ï1´). El Fondo sólo responderá de las obligaciones frente a sus acreedores con su ","7,78/,=$&,Ï1´). El Fondo sólo responderá de las obligaciones frente a sus acreedores con su "
239,12,12,0,patrimonio. ,patrimonio. 
240,96,96,0,La Sociedad Gestora desempeñará para el Fondo aquellas funciones que se le atribuyen en el Real ,La Sociedad Gestora desempeñará para el Fondo aquellas funciones que se le atribuyen en el Real 
241,101,101,0,"Decreto 926/1998, entre las que se incluye la defensa de los intereses de los titulares de los Bonos ","Decreto 926/1998, entre las que se incluye la defensa de los intereses de los titulares de los Bonos "
242,96,96,0,"como gestora de negocios ajenos, sin que exista ningún sindicato de bonistas. De esta forma, la ","como gestora de negocios ajenos, sin que exista ningún sindicato de bonistas. De esta forma, la "
243,97,97,0,"capacidad de defensa de los intereses de los titulares de los Bonos, depende de los medios de la ","capacidad de defensa de los intereses de los titulares de los Bonos, depende de los medios de la "
244,18,18,0,Sociedad Gestora. ,Sociedad Gestora. 
245,47,47,0,b) Sustitución forzosa de la Sociedad Gestora. ,b) Sustitución forzosa de la Sociedad Gestora. 
246,91,91,0,"Conforme al artículo 19 del Real Decreto 926/1998, cuando la Sociedad Gestora hubiera sido ","Conforme al artículo 19 del Real Decreto 926/1998, cuando la Sociedad Gestora hubiera sido "
247,94,94,0,declarada en concurso o cuando su autorización para actuar como sociedad gestora de fondos de ,declarada en concurso o cuando su autorización para actuar como sociedad gestora de fondos de 
248,94,94,0,"titulización hubiera sido revocada por la Comisión 1acional del 0ercado de 9alores la “CNMV”, ","titulización hubiera sido revocada por la Comisión 1acional del 0ercado de 9alores la “CNMV”, "
249,92,92,0,deberá proceder a encontrar una sociedad gestora que la sustituya. Siempre que en este caso ,deberá proceder a encontrar una sociedad gestora que la sustituya. Siempre que en este caso 
