201807,93.4% 2.7% 0.8% 0.2% 2.9%,,,,,,,100.0%
201808,93.1% 3.1% 0.4% 0.5% 2.9%,,,,,,,100.0%
201809,94.8% 1.5% 0.4% 0.3% 3.0%,,,,,,,100.0%
201810,93.0% 2.8% 0.8% 0.2% 3.3%,,,,,,,100.0%
201811,94.9% 1.4% 0.5% 0.1% 3.2%,,,,,,,100.0%
201812,94.9% 0.9% 0.7% 0.2% 3.3%,,,,,,,100.0%
201901,93.2% 2.7% 0.3% 0.3% 3.4%,,,,,,,100.0%
201902,94.5% 1.4% 0.5% 0.2% 3.4%,,,,,,,100.0%
201903,94.5% 1.1% 0.6% 0.2% 3.5%,,,,,,,100.0%
201904,93.8% 1.7% 0.3% 0.4% 3.9%,,,,,,,100.0%
201905,91.8% 2.9% 0.7% 0.2% 4.3%,,,,,,,100.0%
201906,94.5% 1.6% 0.4% 0.3% 3.3%,,,,,,,100.0%
201907,92.3% 2.9% 0.7% 0.2% 3.9%,,,,,,,100.0%
201908,93.5% 1.7% 0.5% 0.2% 4.1%,,,,,,,100.0%
201909,93.5% 1.7% 0.4% 0.1% 4.1%,,,,,,,100.0%
201910,91.9% 2.9% 0.8% 0.2% 4.2%,,,,,,,100.0%
201911,93.7% 1.6% 0.5% 0.3% 4.0%,,,,,,,100.0%
201912,93.6% 2.4% 0.6% 0.2% 3.2%,,,,,,,100.0%
202001,92.8% 3.0% 0.5% 0.3% 3.5%,,,,,,,100.0%
202002,93.9% 1.4% 0.5% 0.3% 3.9%,,,,,,,100.0%
202003,92.0% 2.6% 0.9% 0.2% 4.3%,,,,,,,100.0%
202004,93.0% 1.7% 0.3% 0.5% 4.5%,,,,,,,100.0%
202005,93.2% 0.9% 0.8% 0.5% 4.6%,,,,,,,100.0%
202006,93.3% 0.9% 0.4% 0.5% 5.0%,,,,,,,100.0%
202007,92.5% 1.8% 0.4% 0.4% 4.9%,,,,,,,100.0%
202008,93.5% 0.9% 0.2% 0.3% 5.1%,,,,,,,100.0%
202009,93.3% 1.0% 0.3% 0.1% 5.2%,,,,,,,100.0%
202010,93.1% 1.2% 0.3% 0.1% 5.2%,,,,,,,100.0%
202011,92.9% 1.2% 0.4% 0.1% 5.3%,,,,,,,100.0%
202012,91.6% 1.9% 0.6% 0.1% 5.7%,,,,,,,100.0%
202101,92.5% 1.2% 0.4% 0.2% 5.7%,,,,,,,100.0%
202102,92.3% 1.1% 0.5% 0.2% 5.8%,,,,,,,100.0%
202103,91.4% 2.2% 0.7% 0.2% 5.5%,,,,,,,100.0%
202104,92.8% 1.0% 0.1% 0.4% 5.6%,,,,,,,100.0%
202105,92.8% 0.5% 0.7% 0.1% 5.9%,,,,,,,100.0%
202106,94.8% 0.7% 0.3% 0.1% 4.2%,,,,,,,100.0%
202107,94.5% 0.9% 0.3% 0.1% 4.2%,,,,,,,100.0%
202108,92.5% 2.5% 0.3% 0.3% 4.4%,,,,,,,100.0%
202109,94.4% 0.7% 0.3% 0.1% 4.5%,,,,,,,100.0%
