,,,,
,Fondo,Fecha Constitución,Emitido,Saldo Bonos
,FTPYME TDA CAM 2 - F.T.A,17-nov-04,750.000.000€,266.800.379€
,FTPYME TDA CAM 4 - F.T.A,13-dic-06,1.529.300.000€,981.322.545€
,CIBELES III FTPYME - F.T.A,18-dic-03,500.000.000€,174.226.127€
,FTPYME TDA BANCA MARCH - F.T.A,25-oct-04,200.000.000€,57.113.522€
,CM BANCAJA 1 - F.T.A.,28-sep-05,556.200.000€,260.857.642€
,EMPRESAS HIPOTECARIO TDA CAM 3 - F.T.A,7-jul-06,750.000.000€,516.875.814€
,EMPRESAS HIPOTECARIO TDA CAM 5 - F.T.A,17-oct-07,1.430.800.000€,1.257.409.560€
,EMPRESAS TDA CAM 6 - F.T.A.,26-mar-08,1.000.000.000€,837.428.062€
,CAIXA PENEDES PYMES 1 - F.T.A,22-jun-07,790.000.000€,641.850.189€
,TDA EMPRESAS PASTOR 5 - F.T.A.,17-dic-07,568.700.000€,431.513.008€
,MADRID EMPRESAS I - F.T.A.,22-dic-07,780.000.000€,619.616.202€
,FTPYME TDA CAM 7 - F.T.A,1-ago-08,1.000.000.000€,974.337.551€
,CAIXA PENEDES FTGENCAT 1 TDA - F.T.A,5-ago-08,570.000.000€,560.447.264€
,TDA SA NOSTRA EMPRESAS 1 - F.T.A.,5-ago-08,250.000.000€,235.101.906€
,CÉDULAS TDA 1 - F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000€
,CÉDULAS TDA 2 - F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000€
,CÉDULAS TDA 3 - F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000€
,CÉDULAS TDA 4 - F.T.A.,10-jun-04,1.500.000.000€,1.500.000.000€
,CÉDULAS TDA 5 - F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000€
,CÉDULAS TDA 6 - F.T.A.,18-may-05,3.000.000.000€,3.000.000.000€
,CÉDULAS TDA 7 - F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000€
,CÉDULAS TDA 9 - F.T.A.,28-nov-07,4.000.000.000€,3.950.000.000€
,CÉDULAS TDA 10 - F.T.A.,5-mar-08,4.750.000.000€,4.750.000.000€
,CÉDULAS TDA 11 - F.T.A.,27-mar-08,5.000.000.000€,5.000.000.000€
,CÉDULAS TDA 12 - F.T.A.,25-jun-08,2.200.000.000€,2.200.000.000€
,PROGRAMA CEDULAS TDA - F.T.A.,2-mar-06,Máximo 30.000.000.000€,10.160.000.000€
,GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TDA - F.T.A.,5-abr-04,Máximo 3.000.000.000€,-
,BANCO FINANTIA SOFINLOC Nº 1 - F.T.A,1-jul-04,Máximo 150,000,000€,-
,BANCO FINANTIA SOFINLOC TDA Nº 2 - F.T.A,11-mar-05,Máximo 500.000.000€,-
,BANCO FINANTIA SOFINLOC TDA Nº 3 - F.T.A,30-mar-07,Máximo 600.000.000€,-
,CAP-TDA 1 - F.T.A.,25-jun-03,300.000.000€,300.000.000€
,FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA
MORATORIA NUCLEAR,25-abr-96,4.297.236.546€,-
,CAJA SAN FERNANDO CDO I - F.T.A.,17-feb-05,$167.250.000,-
,,,116.400.000€,-
,FONDO DE TITULIZACION DE ACTIVOS NaOH,19-ene-07,Máximo 300.000.000€,-
,MORTGAGE FINANCE SPAIN - F.T.A.,15-dic-06,Máximo 10.000.000.000€,-
,TDA FS1 - F.T.A.,18-dic-07,Máximo 450.000.000€,
32,,,,
